Subject,Start Date,Start Time,End Date,End Time,Description,Location
[PRIORIDAD] Rebranding CV/LinkedIn a Content Manager,11/03/2025,09:00 AM,11/03/2025,01:00 PM,"Tarea 1 y 2: Actualizar Título, Frase de Valor y CV con enfoque estratégico.",Remoto
[ESTUDIO] Iniciar Fundamentos de Google Analytics 4 (GA4),11/04/2025,10:00 AM,11/04/2025,02:00 PM,Tarea 3: Comenzar el curso gratuito de GA4. Objetivo: Dominar el lenguaje del ROI.,Remoto
[HERRAMIENTAS] Crear QR Link y Tarjeta Digital,11/07/2025,02:00 PM,11/07/2025,04:00 PM,Tarea 4: Crear QR que enlaza al portafolio optimizado y diseñar mensaje de tarjeta.,Remoto
[VENTA] Desarrollar Guion de Venta + Menú de Servicios,11/10/2025,09:00 AM,11/10/2025,02:00 PM,Tarea 5 y 6: Redactar pitch de 5 pasos y definir los precios de los 4 paquetes de servicios.,Remoto
[PORTAFOLIO] Reescribir 3 Proyectos con Lenguaje de ROI,11/12/2025,01:00 PM,11/12/2025,04:00 PM,Tarea 7: Modificar descripciones de proyectos destacando 'impacto' y 'estrategia'.,Remoto
[META] Finalizar y Certificar GA4,11/14/2025,09:00 AM,11/14/2025,03:00 PM,Tarea 8: Completar la certificación de Google Analytics 4. ¡Prioridad máxima!,Remoto
[ESTUDIO] Iniciar Certificación de Meta Ads (Facebook/IG),11/17/2025,10:00 AM,11/17/2025,06:00 PM,Tarea 9: Comenzar el estudio de Meta Blueprint (Ads) para optimizar el contenido para tráfico pagado.,Remoto
[ESTRATEGIA] Definir y Listar 10 Clientes Ideales (Valpo/Viña),11/19/2025,02:00 PM,11/19/2025,05:00 PM,Tarea 10: Usar el archivo CSV de leads y buscar 5 prospectos más con alto potencial para la temporada.,Remoto
[ACCIÓN] Personalización de Estrategia para 3 Prospectos,11/24/2025,01:00 PM,11/24/2025,04:00 PM,Tarea 11: Preparar un mini-pitch personalizado (3 puntos) para los clientes más prometedores.,Valparaíso/Viña (Preparación)
[LANZAMIENTO] Primeros Pitches de Venta y Visitas Presenciales,11/26/2025,10:00 AM,11/26/2025,02:00 PM,Tarea 12: Iniciar contacto digital (pitch) y visitas a comercios locales de Valparaíso/Viña con tarjeta QR.,Valparaíso/Viña (Presencial)
[ESTUDIO] Inicio de Curso SEO de HubSpot,11/28/2025,09:00 AM,11/28/2025,01:00 PM,Tarea 13: Comenzar el curso gratuito de SEO para fortalecer la estrategia de contenido orgánico.,Remoto
